term,diff
day day,-0.00021585878282659113
labor,-0.0002147930058450944
hate,-0.00021337394439288138
ass,-0.00021295383318328386
hope,-0.00021289588259161844
downfall,-0.00021242767557219167
uk,-0.00021172361344122282
black white,-0.00021088962487801963
havoc,-0.00020973094888116265
covid,-0.00020895314489294823
incident,-0.00020809768078912063
deep,-0.00020761992260897872
united,-0.00020756935043570813
mob,-0.0002074929588943651
warfare,-0.0002036733558570524
fall,-0.00020297409317389208
battle,-0.00020197127370521638
world country,-0.00020171845174254597
past,-0.0002006444287374927
unsafe,-0.00019784305700973684
benefit,-0.00019759502990156664
rat,-0.00019685148837212595
women,-0.00019612695920776245
drug crime,-0.00019495595562140467
area,-0.0001936839436943857
park,-0.00019306688249686203
tent,-0.00019302446120234717
insane,-0.0001919027638492809
boy,-0.00019137485548721147
terrible,-0.00018760800460504814
black people,-0.0001865829975024111
enforcement,-0.00018562088334117728
deadly,-0.0001835530250198995
russians,-0.00018347626429068267
drain,-0.00018036710747478197
thing bad,-0.00017869157846451547
american,-0.00017861440808597528
dictatorship,-0.00017838984845935696
young man,-0.00017828454692851703
debt,-0.00017789182327421552
origin,-0.000177414624862195
ton,-0.0001746239591983714
education,-0.00017046798212738603
migrant country,-0.00016928175530858176
alien country,-0.00016882290494356827
dark,-0.00016790246143341344
huge,-0.0001643239432779285
harm,-0.0001641429860759656
marxist,-0.00016048741543097007
identity,-0.00015993866820316076
people child,-0.00015917443487638912
nice,-0.00015810486756107685
shit,-0.0001580531782047796
hour,-0.00015482608637781814
zone,-0.00015330345280279974
willing,-0.00015316520552567604
cage,-0.0001511591506725558
class,-0.000150998855993988
dc,-0.00015000379813273049
man woman,-0.0001496525495765724
cult,-0.00014723157449628784
field,-0.00014373872422703438
garbage,-0.00014068831062936894
blue,-0.00013837326312512803
train,-0.00013700733400968067
father,-0.00013689974043897143
apartment,-0.00013670656697448613
vulnerable,-0.00013577990253536918
coward,-0.00013435430877717011
young,-0.0001309183522034082
cell,-0.00013039612019476838
isis,-0.0001285474780104315
hotel,-0.00012786060111905106
racial,-0.00012714923965670866
activist,-0.00012661809237823554
veteran,-0.0001251772552418903
pot,-0.00012258907108670753
domestic,-0.00012126345697194036
red,-0.00011905994237729049
brown,-0.00011796769642049079
canada,-0.0001171690013975304
use,-0.00011456783452819215
democrats,-0.00011390269539380193
india,-0.0001115836039106609
building,-0.0001113013649106366
brother,-0.00010961117093591822
high crime,-0.00010838997489795969
sin,-0.0001080926796227904
game,-0.00010741293944872366
people world,-0.00010504829540370573
rapist,-0.000104900625631444
rent,-0.0001012159029818747
start,-9.787146076587763e-05
week,-9.621789930966038e-05
type,-9.578847400858995e-05
street,-9.432405052991772e-05
late,-9.335688373427148e-05
troop,-9.192145498573064e-05
income,-9.19113247236293e-05
long,-9.030764835597001e-05
smuggler,-8.955706443415645e-05
climate,-8.486390105784766e-05
minority,-8.22794149323568e-05
expense,-8.087761662546616e-05
african,-7.982529919260922e-05
liberal,-7.785432423068877e-05
cartel member,-7.735968631706887e-05
washington,-7.649316235909846e-05
sick,-7.388280308598004e-05
powerful,-7.358331937145187e-05
target,-7.327993294779225e-05
sovereignty,-7.110969111900016e-05
adult,-7.087452460709535e-05
prostitution,-7.042609963648624e-05
trafficker,-6.84663040237337e-05
age,-6.80659761088272e-05
africa,-6.672861770839371e-05
gang member,-6.656703200361169e-05
wing,-6.620454312443794e-05
arizona,-6.536072622955022e-05
kidnapping,-6.342809226250951e-05
healthcare,-6.283246772966693e-05
persecution,-6.092268192377508e-05
increase,-5.999775200561327e-05
welcome,-5.770426027715866e-05
population,-5.7636013630498004e-05
store,-5.744889443861257e-05
nwo,-5.7433891777496646e-05
peaceful,-5.394223659769041e-05
fact,-4.747636800462359e-05
respect,-4.34239934546907e-05
numerous,-4.130605401805079e-05
collapse,-3.947762912965278e-05
present,-3.810476565250132e-05
